U B2 L (R),4
B2 U L (R),4
D L' B L2 F,5
D' L' B L2 F,5
B' D B L F,5
B' D B' L F,5
B' D' B L F,5
B' D' B' L F,5
D L' F U2 B,5
D F U L' B,5
D F L' U2 B,5
D' L' F U2 B,5
D' F U L' B,5
D' F L' U2 B,5
B' L' D F B,5
B' L' D' F B,5
U D2 L F' R,5
U D2 L' F' R,5
U R2 L B R,5
U R2 L' B R,5
U L D' F' R,5
U L' D' F' R,5
U' D2 L F' R,5
U' D2 L' F' R,5
U' R2 L B R,5
U' R2 L' B R,5
U' L D' F' R,5
U' L' D' F' R,5
R' U L B R,5
R' U L' B R,5
R' U' L B R,5
R' U' L' B R,5
D2 F U R L,5
D2 F U' R L,5
R' B' U R L,5
R' B' U' R L,5
(F U' R L2 F),5
(F R U' L2 F),5
(F R L U' F),5
(F L U' R F),5
(F' R L2 D F),5
(R F B' U B),5
(R F' B' U B),5
(R' F U D2 B),5
(F U D R' B),5
(F U R' D2 B),5
(F D R' U B),5
(F R' U D2 B),5
(F' U2 D R B),5
(R L2 F' U' L),5
(R L' B U L),5
(R F' D' B L),5
(R F' B D' L),5
(R B L2 U L),5
(R' L2 F' U' L),5
(R' L' B U L),5
(R' F' D' B L),5
(R' F' B D' L),5
(R' B L2 U L),5
(L2 U R F' L),5
(L2 U R' F' L),5
(L' U' R B L),5
(L' U' R' B L),5
(F2 R D' B L),5
(F2 R B D' L),5
(F2 R' D' B L),5
(F2 R' B D' L),5
D L' B (L F),5
R' D' L' B (F),5
L D B (L2 F),5
L' D B (L F),5
U' D2 F2 R (R),5
U' F2 D2 R (R),5
D2 F U' R (R),5
F U' D2 R (R),5
U2 B U' L (R),5
U' L (U' F2 R),5
U' L (F U' R),5
U' B2 L (F R),5
U' B2 U2 L (R),5
D' L (L U' R),5
D' L (L' U' R),5
F L (U R L),5
F L (U' R L),5
B U L (F2 R),5
B U' L (F R),5
B2 R2 U L (R),5
B' U B' L (R),5
U L' D (F U),5
U' L' D (F U),5
R U F' D (D),5
R U' F' D (D),5
R' U F' D (D),5
R' U' F' D (D),5
D U (U' L' U),5
F R D U (D),5
F R' D U (D),5
